user_id,sign_up_date,gender,marital_status,children_status,home_country,home_city,home_airport,destination,destination_airport,page_clicks,base_fare_usd,home_airport_lat,home_airport_lon,destination_airport_lat,destination_airport_lon,check_in_time,check_out_time,age,avg_session_length,num_sessions,total_flights_booked,total_hotels_booked,total_return_flights_booked,total_checked_bags,cancellations,total_flight_discounts,total_hotel_discounts,total_rooms_booked,Avg_checked_bags,Avg_flight_discount_amount,Avg_base_fare,Avg_hotel_discount_amount,Avg_page_clicks,cancellations_ratio,Avg_flights_booked,Avg_hotels_booked,length_of_stay,flight_distance_km,dollars_saved,ADS,scaled_ADS,discount_flight_proportion,scaled_distance,ADS_per_km,bargain_hunter_index
94883,2022-02-07,F,Married,Has no children,usa,kansas city,MCI,toronto,YZD,73.0,623.17,39.297,-94.714,43.862,-79.37,2023-04-16 13:55:13,2023-04-17 11:00:00,52,1.1,8,2,2,2.0,1,0,0.0,1.0,3.0,1.0,0.0,623.17,1.0,73.0,0.0,2.0,2.0,0,1370.8954968154947,0.0,0.0,0.0,0.0,0.08523609226749725,0.0,0.0
101486,2022-02-17,F,Married,Has children,usa,tacoma,TCM,edmonton,YED,131.0,189.91,47.138,-122.476,53.667,-113.467,2023-06-24 11:00:00,2023-06-29 11:00:00,51,2.0,8,1,2,1.0,0,0,2.0,0.0,3.0,0.0,0.3333333333333333,189.91,0.0,131.0,0.0,1.0,2.0,5,965.3405679141885,379.82,379.82,0.016368611305853827,0.0,0.059764549993765466,0.0018678758751917047,0.0
101961,2022-02-17,F,Married,Has no children,usa,boston,BOS,seattle,YHU,126.0,769.5,42.364,-71.005,47.53,-73.417,2023-06-27 14:27:47,2023-07-05 11:00:00,43,2.0,8,5,5,5.0,2,0,2.0,1.0,5.0,2.0,0.3333333333333333,769.5,1.0,126.0,0.0,5.0,5.0,7,604.9015796559495,1539.0,1539.0,0.06632429255886746,0.0,0.037126588346022615,0.012183369462107576,0.0
106907,2022-02-24,F,Married,Has children,usa,miami,TNT,durban,DUR,240.0,5801.041898162839,25.862,-80.897,-29.97,30.95,2024-01-17 09:45:10,2024-01-28 11:00:00,45,12.6,8,2,2,2.0,10,1,1.0,1.0,6.0,10.0,0.16666666666666666,5801.041898162839,1.0,240.0,1.0,2.0,2.0,11,13402.32307720093,5801.041898162839,5801.041898162839,0.24999999999999997,0.0,0.8408896286635708,0.002027593281154873,0.0
118043,2022-03-10,F,Unmarried,Has children,usa,los angeles,LAX,new york,LGA,164.0,1175.66,33.942,-118.408,40.64,-73.779,2023-07-19 11:00:00,2023-07-27 11:00:00,52,2.6,8,3,4,3.0,3,0,2.0,3.0,5.0,3.0,0.3333333333333333,1175.66,3.0,164.0,0.0,3.0,4.0,8,3974.209842999768,2351.32,2351.32,0.10133179699773635,0.0,0.2487415182779456,0.002778288199682513,0.0
120851,2022-03-13,F,Married,Has children,usa,santa ana,SNA,edmonton,YXD,55.0,384.68,33.676,-117.868,53.667,-113.467,2023-04-15 11:48:44,2023-04-26 11:00:00,51,0.9,8,1,1,1.0,0,0,2.0,0.0,1.0,0.0,0.3333333333333333,384.68,0.0,55.0,0.0,1.0,1.0,10,2249.833872451225,769.36,769.36,0.0331561128805005,0.0,0.14043925809182106,0.0016101076512774779,0.0
125845,2022-03-19,F,Married,Has no children,usa,el paso,BIF,ottawa,YOW,159.0,710.38,31.849,-106.38,45.323,-73.779,2023-06-13 20:49:39,2023-06-15 11:00:00,40,2.2,9,3,3,3.0,2,0,1.0,1.0,4.0,2.0,0.16666666666666666,710.38,1.0,159.0,0.0,3.0,3.0,1,3174.9564953886234,710.38,710.38,0.030614328101343905,0.0,0.19854310129346556,0.0010515980248528324,0.0
149058,2022-04-14,F,Unmarried,Has children,usa,birmingham,BHM,san antonio,YYC,142.0,579.32,33.563,-86.753,51.114,-73.779,2023-04-20 12:22:12,2023-04-28 11:00:00,51,2.2,8,5,5,5.0,2,0,1.0,0.0,6.0,2.0,0.16666666666666666,579.32,0.0,142.0,0.0,5.0,5.0,7,2216.3912132980936,579.32,579.32,0.02496620478570702,0.0,0.13833883704978686,0.0012308021290926858,0.0
152583,2022-04-17,F,Unmarried,Has no children,usa,colorado springs,COS,toronto,YYZ,149.0,367.83,38.806,-104.7,43.862,-79.37,2023-06-14 18:43:24,2023-06-17 11:00:00,38,2.3,8,1,1,1.0,2,0,1.0,1.0,1.0,2.0,0.16666666666666666,367.83,1.0,149.0,0.0,1.0,1.0,2,2178.789038455096,367.83,367.83,0.015851893782929317,0.0,0.13597717080474228,0.0007950509916423621,0.0
153982,2022-04-19,F,Unmarried,Has children,canada,toronto,YKZ,new york,YYC,150.0,451.28,43.862,-79.37,51.114,-73.779,2023-07-31 13:42:34,2023-08-03 11:00:00,46,2.3,8,3,3,3.0,1,0,0.0,1.0,3.0,1.0,0.0,451.28,1.0,150.0,0.0,3.0,3.0,2,908.6206167427622,0.0,0.0,0.0,0.0,0.05620216046014308,0.0,0.0
160754,2022-04-26,F,Married,Has children,usa,new york,LGA,ottawa,YOW,86.0,93.62,40.777,-73.872,45.323,-75.669,2023-07-08 16:39:27,2023-07-11 11:00:00,46,1.3,8,1,1,1.0,1,0,0.0,0.0,1.0,1.0,0.0,93.62,0.0,86.0,0.0,1.0,1.0,2,526.1200403921746,0.0,0.0,0.0,0.0,0.032178584599197875,0.0,0.0
164522,2022-04-30,F,Married,Has no children,usa,kansas city,MCI,new york,JFK,89.0,328.32,39.297,-94.714,40.64,-73.779,2023-02-17 19:13:57,2023-03-03 11:00:00,48,1.4,8,1,1,1.0,1,0,2.0,1.0,1.0,1.0,0.3333333333333333,328.32,1.0,89.0,0.0,1.0,1.0,13,1786.0731620565493,656.64,656.64,0.028298364825116783,0.0,0.1113120062748704,0.0017338006504283925,0.0
174997,2022-05-10,F,Unmarried,Has no children,usa,grand rapids,GRR,warsaw,WAW,252.0,2636.06,42.881,-85.523,52.166,20.967,2023-03-14 11:16:29,2023-03-16 11:00:00,32,16.5,8,3,3,3.0,1,1,1.0,3.0,2.0,1.0,0.16666666666666666,2636.06,3.0,252.0,1.0,3.0,3.0,1,7317.091585667979,2636.06,2636.06,0.11360286851379348,0.0,0.4586966872488566,0.0016890539624076944,0.0
175032,2022-05-10,F,Unmarried,Has no children,usa,houston,IAH,memphis,MEM,127.0,957.59,29.98,-95.34,36.08,-89.977,2023-07-31 11:00:00,2023-08-08 11:00:00,29,1.7,9,2,3,2.0,1,0,1.0,2.0,6.0,1.0,0.16666666666666666,957.59,2.0,127.0,0.0,2.0,3.0,8,842.2868990851455,957.59,957.59,0.04126801774622865,0.0,0.05203596255923937,0.005408662058147687,0.0
181157,2022-05-15,F,Married,Has no children,usa,houston,HOU,oklahoma city,OKC,153.0,536.03,29.645,-95.279,35.393,-97.601,2023-04-03 15:47:25,2023-04-06 11:00:00,54,2.4,8,3,3,3.0,3,0,2.0,1.0,6.0,3.0,0.3333333333333333,536.03,1.0,153.0,0.0,3.0,3.0,2,675.1441150533232,1072.06,1072.06,0.04620118328827774,0.0,0.04153828595412569,0.007585502533554095,0.0
187212,2022-05-21,F,Married,Has children,usa,los angeles,LAX,winnipeg,YAV,128.0,722.46,33.942,-118.408,50.056,-73.779,2023-03-11 18:07:24,2023-03-16 11:00:00,55,2.0,8,3,3,3.0,2,0,1.0,1.0,3.0,2.0,0.16666666666666666,722.46,1.0,128.0,0.0,3.0,3.0,4,4023.3568867806084,722.46,722.46,0.031134924237868348,0.0,0.2518282789460603,0.0008431855332571631,0.0
189676,2022-05-23,F,Unmarried,Has children,usa,fort worth,FTW,san jose,SJC,93.0,1244.31,32.82,-97.362,37.362,-121.929,2023-05-08 12:51:20,2023-05-14 11:00:00,36,1.4,8,1,2,1.0,2,0,1.0,0.0,4.0,2.0,0.16666666666666666,1244.31,0.0,93.0,0.0,1.0,2.0,5,2284.5483204879297,1244.31,1244.31,0.05362441876148432,0.0,0.14261955591996403,0.0025642676225459287,0.0
190866,2022-05-24,F,Unmarried,Has no children,usa,tallahassee,TLH,toronto,YZD,186.0,727.28,30.396,-84.35,45.589,-79.37,2023-07-12 18:37:59,2023-07-14 11:00:00,37,2.6,9,5,5,5.0,2,0,0.0,1.0,5.0,2.0,0.0,727.28,1.0,186.0,0.0,5.0,5.0,1,1743.9188848624851,0.0,0.0,0.0,0.0,0.10866443777785796,0.0,0.0
195192,2022-05-28,F,Unmarried,Has no children,usa,chicago,MDW,new york,LGA,225.0,394.29,41.786,-87.752,40.64,-73.779,2023-05-01 10:28:04,2023-05-02 11:00:00,28,3.5,8,1,1,1.0,0,0,1.0,1.0,2.0,0.0,0.16666666666666666,394.29,1.0,225.0,0.0,1.0,1.0,1,1174.423089479478,394.29,394.29,0.016992206181309845,0.0,0.07289632058073997,0.0015897322766893068,0.0
204943,2022-06-06,M,Unmarried,Has no children,canada,ottawa,YOW,vancouver,YVR,292.0,1394.39,45.323,-75.669,49.195,-73.779,2023-12-30 12:18:09,2024-01-17 11:00:00,41,17.4,8,7,7,7.0,9,1,3.0,1.0,10.0,9.0,0.5,1394.39,1.0,292.0,1.0,7.0,7.0,17,453.51768487031285,4183.17,4183.17,0.18027666725372166,0.0,0.02761867461892085,0.0445160393830667,0.0
204997,2022-06-06,F,Married,Has no children,usa,kansas city,MCI,new york,JFK,439.0,3500.64,39.297,-94.714,40.64,30.792,2023-07-19 18:56:52,2023-07-24 11:00:00,39,23.3,8,5,4,5.0,3,2,3.0,4.0,6.0,3.0,0.5,3500.64,4.0,439.0,2.0,5.0,4.0,4,9551.998178352052,10501.92,10501.92,0.4525876637490717,0.0,0.5990636602446343,0.005152399948869568,0.0
205044,2022-06-06,F,Married,Has children,canada,toronto,YKZ,philadelphia,PHL,134.0,1971.19,43.862,-79.37,39.872,-75.241,2023-05-11 09:41:59,2023-05-15 11:00:00,41,1.8,9,3,3,3.0,1,0,1.0,0.0,6.0,1.0,0.16666666666666666,1971.19,0.0,134.0,0.0,3.0,3.0,4,559.9627719502457,1971.19,1971.19,0.08494982602281609,0.0,0.034304132844599045,0.016888686693013005,0.0
206011,2022-06-07,F,Unmarried,Has children,usa,kansas city,MCI,san jose,SJI,156.0,436.36,39.297,-94.714,41.786,-86.294,2023-05-09 12:58:05,2023-05-10 11:00:00,40,2.4,8,4,3,4.0,1,0,1.0,2.0,3.0,1.0,0.16666666666666666,436.36,2.0,156.0,0.0,4.0,3.0,0,763.0126062348019,436.36,436.36,0.018805242560745554,0.0,0.04705701061547169,0.0027254262593472073,0.0
216796,2022-06-16,F,Unmarried,Has no children,usa,cincinnati,CVG,barcelona,BCN,125.0,2500.87,39.046,-84.662,41.297,2.078,2023-09-22 17:48:06,2023-10-03 11:00:00,23,8.2,8,2,2,2.0,4,1,4.0,2.0,2.0,4.0,0.6666666666666666,2500.87,2.0,125.0,1.0,2.0,2.0,10,7041.479113795877,10003.48,10003.48,0.43110703971850517,0.0,0.4413863940476947,0.006661100770034213,0.0
217136,2022-06-17,F,Unmarried,Has children,usa,little rock,LIT,seattle,BFI,106.0,539.57,34.729,-92.224,47.53,-122.302,2023-03-30 11:00:00,2023-04-02 11:00:00,39,1.7,8,1,2,1.0,0,0,2.0,0.0,2.0,0.0,0.3333333333333333,539.57,0.0,106.0,0.0,1.0,2.0,3,2867.3164066210743,1079.14,1079.14,0.04650630089147254,0.0,0.17922126109942327,0.0017697099757082518,0.0
220725,2022-06-20,F,Unmarried,Has no children,usa,stockton,SCK,san antonio,UGN,316.0,719.21,37.894,-121.239,41.786,-73.779,2023-06-12 14:54:27,2023-06-17 11:00:00,41,15.8,9,5,4,5.0,1,1,2.0,2.0,4.0,1.0,0.3333333333333333,719.21,2.0,316.0,1.0,5.0,4.0,4,4023.6691455765204,1438.42,1438.42,0.06198972638240815,0.0,0.2518478908717296,0.0016786541638009757,0.0
